Timestamp,¿Has escuchado el término fast fashion?,¿Asocias a Zara con fast fashion?,¿Qué factor influye más en su decisión de compra de ropa?,¿Dónde suele comprar en Zara?,"En una escala de 1 a 5, ¿qué tan importante es para usted la sostenibilidad al comprar ropa? ","Si Zara ofreciera ropa más sostenible con un precio ligeramente mayor, ¿la compraría? ",¿Qué información le gustaría encontrar en la web de Zara para decidir de forma más sostenible?,¿En qué aspecto debería enfocarse más Zara en el futuro? ,¿En qué rango de edad se encuentra? ,¿Cuál es su género? 
07/10/2025 08:17:37,Sí,Sí,Sostenibilidad/ética,Ambas,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
07/10/2025 08:17:50,Sí,No,Sostenibilidad/ética,No compro en Zara,,,,,18–25,Femenino
07/10/2025 08:18:33,Sí,No,Sostenibilidad/ética,Tienda física,5,No,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Masculino
07/10/2025 08:19:11,Sí,No,Diseño/estilo,No compro en Zara,,,,,35–44,Masculino
07/10/2025 08:19:32,Sí,Sí,Diseño/estilo,Ambas,3,Sí,Origen de materiales,Ofrecer ropa más sostenible,18–25,Femenino
07/10/2025 08:19:56,Sí,No,Precio,Ambas,5,Sí,Origen de materiales,Ofrecer ropa más sostenible,18–25,Femenino
07/10/2025 08:20:31,Sí,No,Sostenibilidad/ética,Online (web/app),5,Sí,Opciones de reciclaje/devolución,Mejorar la calidad,25–34,Masculino
07/10/2025 08:21:05,Sí,No estoy seguro/a,Precio,Tienda física,4,Tal vez,Opciones de reciclaje/devolución,Innovar en diseño,18–25,Femenino
07/10/2025 08:21:39,Sí,No estoy seguro/a,Precio,Tienda física,3,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Innovar en diseño,35–44,Femenino
07/10/2025 08:22:05,No,No estoy seguro/a,Diseño/estilo,Online (web/app),1,Tal vez,Condiciones laborales,Ofrecer ropa más sostenible,18–25,Femenino
07/10/2025 08:22:43,Sí,Sí,Calidad/durabilidad,Tienda física,5,Tal vez,Condiciones laborales,Mantener precios accesibles,18–25,Femenino
07/10/2025 08:23:15,Sí,Sí,Precio,Ambas,4,No,Huella de carbono por prenda,Fortalecer el canal online,18–25,Masculino
07/10/2025 08:23:40,Sí,No estoy seguro/a,Sostenibilidad/ética,No compro en Zara,,,,,45–54,Femenino
07/10/2025 08:24:12,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,3,Tal vez,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,18–25,Femenino
07/10/2025 08:41:54,No,No,Precio,Tienda física,4,Sí,"Origen de materiales, Condiciones laborales",Mantener precios accesibles,35–44,Femenino
